ngramme	Cliges	Yvain	AlexisP11	ThebesC	AlexisPRI	FillePonth1B1	AlexisP13	BenTroieC_1partial	ChaceP	AlexisOctP	SGeorgDeG	MeraugisF	SGeorgVosL	AigarB	LancJ	PercevalKu	CleomHas	BenTroieC_4partial	ErecF	DancusM	JAvesnesFilleB	JugAmD	OmbreB2	UnicornecW	AlexisPQ
jà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0

já	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

jö	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

k 	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0

ka	0	1	0	0	0	0	46	0	0	9	0	0	0	13	0	1	103	0	0	0	0	0	0	0	0

ke	0	4	0	0	0	3	91	0	0	21	0	0	0	33	6	8	81	0	6	0	0	0	0	0	0

ki	0	0	0	0	0	2	39	0	0	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0

kl	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ko	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0

kà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0

ké	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

l 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0

la	109	97	12	210	23	6	11	158	7	9	13	99	15	8	185	153	336	27	176	20	4	15	22	6	33

lc	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ld	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

le	159	150	3	237	20	7	20	135	17	19	29	90	8	1	132	216	429	13	166	21	10	6	19	14	37

li	157	132	11	376	29	16	35	115	8	8	0	121	22	3	184	205	390	15	252	13	0	20	21	4	8

ll	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0

lo	73	58	4	46	2	3	1	48	11	15	10	63	11	10	79	66	318	12	67	7	4	6	6	6	15

ls	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

lt	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

lu	13	11	1	27	2	2	3	8	2	5	2	1	1	1	6	10	40	0	16	2	1	2	0	0	1

ly	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	7	0	0	0	0	0	0	0	1

là	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	95	0	0	0	0	0	0	0	0

lè	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0

lé	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0

lï	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

m 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0

ma	36	259	15	273	25	8	38	214	7	2	6	19	5	21	49	51	509	18	52	17	4	3	10	3	5

me	331	124	6	44	6	10	7	39	10	8	4	137	4	0	332	297	118	3	251	18	3	4	10	0	28

mi	10	10	2	36	4	6	2	20	2	1	0	2	0	1	11	7	21	2	8	2	1	1	1	0	1

mo	97	83	2	181	10	12	12	268	1	19	5	39	2	5	106	79	312	14	138	7	4	4	11	2	17

mu	0	2	0	3	0	0	0	2	0	0	0	3	5	0	0	0	5	0	2	5	0	0	0	0	0

my	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0

mè	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0

mé	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

n 	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0

na	21	18	2	36	3	2	2	28	0	2	0	14	0	0	42	38	51	1	33	3	0	1	3	0	1

ne	320	241	29	397	60	6	51	362	9	22	3	84	4	1	292	228	494	29	244	6	2	17	42	6	9

ni	26	27	4	45	4	0	6	50	1	4	0	7	0	1	24	18	32	6	26	1	0	1	2	0	0

no	36	28	3	51	7	3	6	31	1	6	5	28	0	7	27	35	70	1	19	2	3	0	10	1	2

nu	7	10	1	17	1	0	1	19	2	1	2	13	1	0	15	9	38	1	12	3	0	1	5	1	4

ny	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1

nà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0

nè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

né	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0

o 	2	0	3	98	1	0	0	52	0	0	0	2	3	4	2	0	8	8	3	0	5	0	1	0	0

ob	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0

oc	0	0	0	7	0	0	0	7	0	0	0	4	0	0	1	3	1	0	2	0	0	0	0	0	0

od	0	0	1	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0

oe	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

of	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0

og	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

oh	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0

oi	3	0	0	3	2	0	0	5	0	1	0	3	0	0	3	2	4	0	2	8	1	0	0	0	0

ol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0

om	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

on	17	17	2	87	3	0	4	94	1	1	3	17	1	0	28	16	45	7	37	2	0	1	7	1	5

oq	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

or	63	52	11	46	16	5	25	43	4	10	3	30	2	0	57	71	115	1	60	2	0	0	21	16	3

os	3	1	0	1	2	0	1	2	0	0	0	0	0	1	2	13	0	0	4	0	0	0	0	0	0

ot	2	5	0	27	9	1	5	10	0	0	1	6	0	0	11	17	44	0	7	0	0	1	2	0	0

ou	42	63	5	45	0	0	11	40	3	10	8	37	2	0	48	71	90	1	46	3	0	5	9	0	4

ov	1	0	1	0	0	0	0	3	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0

oy	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0

oz	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

oë	0	0	0	1	0	0	0	6	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0

oï	5	10	0	6	0	0	0	7	0	0	0	10	2	0	6	14	3	0	5	0	0	0	0	0	0

où	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	74	0	0	1	0	0	0	0	0

oÿ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

pa	97	76	15	239	27	4	12	137	6	11	6	58	7	3	81	96	252	11	76	5	2	7	18	2	11

pe	6	8	1	20	2	5	0	17	0	2	1	5	1	8	3	23	37	2	3	0	3	0	0	0	2

ph	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

pi	0	1	0	7	1	1	2	0	0	0	1	1	1	0	2	3	31	0	1	3	0	0	2	0	0

pl	24	32	7	38	12	4	0	27	1	4	3	23	2	0	19	28	74	7	27	4	2	1	4	1	2

po	139	117	19	273	31	3	19	132	9	24	9	79	14	7	127	160	369	8	143	9	1	4	23	3	19

pr	13	10	3	39	5	2	6	36	0	1	1	16	2	0	15	15	46	4	11	15	2	2	3	0	0

pu	17	36	0	59	15	1	15	40	7	1	2	11	1	0	37	47	72	3	42	6	1	3	7	1	17

pè	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

pö	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

qa	129	0	0	0	0	0	0	0	0	0	0	0	0	0	14	81	0	0	0	0	0	0	0	0	0

qe	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

qu	857	1077	50	947	142	8	2	882	50	120	76	381	35	5	1000	1397	2261	90	961	67	7	68	113	74	109

qé	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

r
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

ra	4	1	0	4	0	0	0	0	0	0	0	1	0	0	2	2	3	0	5	0	1	0	0	0	0

re	14	13	6	43	7	2	3	25	0	1	1	20	1	1	8	9	40	4	22	0	4	0	5	0	0

ri	8	3	1	20	1	0	0	27	0	1	0	5	2	0	9	9	31	2	6	0	1	1	1	0	0

ro	4	7	0	2	0	2	0	3	0	0	1	0	0	1	9	6	39	0	4	3	1	1	0	0	0

ru	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0

ré	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

sa	90	68	10	68	41	4	15	56	9	11	20	41	10	1	93	111	320	8	76	8	3	6	12	2	13

sc	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

se	176	236	17	330	43	10	30	196	18	13	6	123	12	15	204	232	517	18	176	12	3	14	35	4	9

si	278	358	26	220	74	7	64	170	22	35	13	106	17	7	342	495	406	19	259	6	7	12	39	10	15

sl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0

so	58	53	13	120	27	5	13	107	3	7	8	41	1	4	69	62	167	16	75	12	2	10	8	1	12

sp	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

su	3	2	0	6	1	0	1	3	2	1	3	5	0	0	6	3	10	1	4	1	0	0	2	0	4

sy	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0

sà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0

sè	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

sé	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0

sö	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

ta	93	114	9	106	11	5	21	70	3	11	2	31	3	10	122	129	194	8	108	3	2	4	2	4	5

te	23	24	1	15	5	3	10	45	3	3	1	17	3	0	28	29	61	1	22	1	0	0	5	1	0

th	6	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

ti	4	4	1	7	1	3	0	3	2	0	0	3	1	0	1	1	3	0	1	3	2	0	0	0	0

to	61	71	14	104	24	3	12	101	4	9	9	38	15	4	70	70	229	10	79	5	0	6	11	3	11

tr	22	34	6	49	7	1	12	69	4	8	2	19	4	5	38	40	93	7	43	1	1	1	2	3	2

tu	19	7	2	73	2	0	3	24	1	4	1	12	2	3	18	14	0	1	37	6	1	1	0	0	0

ty	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

té	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

u 	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ue	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ui	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ul	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

un	23	45	2	109	8	1	8	40	2	9	10	29	5	3	73	67	101	6	62	3	0	1	5	0	8

ut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0

v 	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	3	0	0	1	0	0	0	3	0

va	7	9	2	11	5	0	3	7	1	0	2	4	3	4	6	29	4	0	16	4	0	2	1	0	1

vc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0

ve	35	42	2	73	6	5	0	43	2	5	2	15	6	0	48	49	124	0	38	5	0	2	11	0	7

vi	15	14	10	20	7	7	10	27	0	3	2	16	3	4	18	20	42	3	24	5	0	0	2	4	1

vo	49	66	3	50	4	14	5	36	2	9	2	40	3	0	61	99	101	1	55	5	3	5	18	3	11

vr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2

vu	2	0	0	5	0	0	1	2	0	0	0	1	0	0	2	0	5	0	4	0	0	0	0	0	0

vé	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0

vï	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

x 	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0

xi	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0

