ngramme	Cliges	Yvain	AlexisP11	ThebesC	AlexisPRI	FillePonth1B1	AlexisP13	BenTroieC_1partial	ChaceP	AlexisOctP	SGeorgDeG	MeraugisF	SGeorgVosL	AigarB	LancJ	PercevalKu	CleomHas	BenTroieC_4partial	ErecF	DancusM	JAvesnesFilleB	JugAmD	OmbreB2	UnicornecW	AlexisPQ
mau	21	27	0	46	2	7	9	36	1	2	1	22	0	30	17	23	43	3	31	6	0	2	4	2	3
mav	11	19	0	4	3	8	0	5	2	3	0	3	0	1	14	25	30	0	19	0	2	0	4	0	6
max	21	1	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0
may	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	1	1	0	0
maz	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	4	1	0	0	0	0	0	0
maç	0	0	0	1	0	0	0	2	0	0	0	1	0	0	2	1	1	0	3	0	0	0	0	0	0
maî	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
maï	2	6	0	1	0	1	0	1	0	0	0	0	0	0	18	20	6	1	0	0	0	0	3	0	0
maü	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
maÿ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mb 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mba	0	13	0	46	2	0	4	25	0	0	0	10	0	1	3	0	89	2	0	2	10	2	0	0	0
mbd	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mbe	0	14	1	43	0	0	1	16	0	0	2	3	0	1	0	0	34	1	0	1	2	1	2	0	1
mbi	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	9	1	0	1	0
mbl	1	69	13	111	23	24	17	82	7	14	3	56	5	0	1	1	238	2	0	7	45	3	9	4	10
mbo	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0
mbr	1	37	12	56	20	11	20	38	0	3	4	3	0	0	2	0	92	5	1	6	17	0	16	0	11
mbu	0	0	0	15	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0
mce	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mco	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mde	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mdu	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
me
	50	66	9	36	9	11	0	17	0	12	5	14	2	0	32	48	10	0	46	4	10	0	14	4	0
me 	334	534	54	322	166	339	151	297	14	73	17	190	19	10	395	497	711	16	402	20	282	13	101	12	92
mea	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mec	4	2	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0
med	3	4	25	54	29	0	12	49	0	0	0	0	0	0	5	35	1	5	3	22	6	0	0	1	0
mee	13	11	0	15	0	3	3	17	0	0	0	2	0	0	4	18	0	3	10	0	6	2	0	2	0
mef	0	7	0	0	1	0	1	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2
meg	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	2
meh	3	4	0	0	0	3	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0
mei	28	12	9	334	6	1	5	154	0	22	0	9	1	15	79	117	37	13	38	6	1	1	3	0	0
mej	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mel	1	19	0	21	2	4	1	9	2	3	0	12	1	5	64	27	52	0	41	2	1	1	0	1	2
mem	1	7	2	17	4	0	5	8	0	0	3	0	0	1	0	4	5	1	2	1	11	0	3	0	4
men	75	419	40	699	91	155	142	516	43	65	36	141	48	17	106	195	1926	45	133	38	339	38	43	16	85
meo	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
mep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mer	127	133	25	147	46	40	26	173	4	17	9	201	7	7	135	224	482	22	119	7	105	5	19	5	21
mes	640	392	39	330	63	133	59	239	18	37	23	309	13	29	641	775	514	23	550	23	60	15	43	13	25
met	81	60	15	71	13	6	7	34	13	6	2	29	2	4	73	70	85	6	44	46	16	1	14	4	3
meu	0	14	0	7	1	0	0	0	0	3	1	0	0	1	0	0	10	0	1	2	9	0	1	0	1
mev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mez	21	24	0	26	0	0	0	23	0	2	1	9	0	0	24	30	34	3	27	1	87	3	1	0	60
meç	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
meë	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
meï	28	31	0	21	0	8	0	6	0	0	0	3	0	0	29	24	34	1	24	0	0	0	0	0	1
meü	16	7	0	2	0	3	0	9	0	0	0	2	0	0	9	11	48	0	5	0	0	0	1	0	0
mfa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mfi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mfo	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
mfu	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mi
	11	7	3	3	4	0	0	8	0	0	0	0	0	0	4	6	23	0	5	1	1	0	10	0	2
mi 	45	49	4	18	18	21	7	59	1	4	1	38	1	2	49	65	78	6	67	2	7	2	10	4	5
mia	39	0	0	1	0	0	0	0	0	0	0	0	2	0	48	55	5	1	33	3	0	0	0	0	0
mib	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic	1	0	0	7	0	0	0	1	0	0	0	10	0	0	0	1	2	0	0	0	1	0	0	0	0
mid	0	5	0	1	0	0	0	3	0	0	0	2	0	1	0	3	0	1	3	0	1	0	0	0	0
mie	144	157	15	154	35	64	44	161	26	23	9	98	3	2	153	195	238	6	140	20	54	28	51	15	29
mii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mil	8	11	2	111	5	2	7	57	4	2	1	1	3	14	6	6	28	6	7	1	15	0	0	0	3
mim	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
min	16	17	1	48	6	2	4	11	0	6	2	12	0	1	24	25	30	2	27	2	31	0	2	1	4
mio	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mir	32	11	1	18	2	3	4	10	0	2	5	1	3	2	6	13	29	0	10	3	26	1	1	0	3
mis	114	84	8	176	20	36	23	103	3	14	13	23	4	1	89	115	172	7	119	0	48	5	31	2	32
mit	3	5	0	3	0	0	2	0	0	1	0	0	0	2	6	14	0	0	1	1	2	0	0	0	4
miu	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miv	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mix	0	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miz	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	2	0	1	3	0	0	0	0	0	0
miè	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
mié	0	0	0	8	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mië	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mla	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mle	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
mli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mma	0	0	0	0	16	8	1	0	3	2	8	0	0	0	0	0	96	1	0	7	58	0	4	0	2
mme	25	4	6	4	26	51	13	23	8	32	27	0	0	0	3	0	315	1	7	17	233	3	34	6	48
mmi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0
mmo	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	1
mmu	0	0	1	0	1	0	2	0	1	5	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0
mmy	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmé	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21	0	0	0	8	0	0	0	3
mnd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mne	0	0	2	34	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
mni	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
mno	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mné	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mo 	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mob	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
moc	2	2	0	4	0	3	1	1	0	0	0	5	0	0	5	5	5	0	5	0	0	0	0	1	0
mod	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
moe	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
mof	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
moi	122	153	2	16	45	50	19	4	2	6	2	74	10	0	145	185	368	0	116	10	55	7	25	0	16
mok	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mol	3	1	14	13	2	57	6	0	0	2	1	0	2	5	377	1	2	1	4	0	0	14	0	0	0
mom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mon	139	157	11	302	26	75	7	109	13	44	16	101	15	13	171	196	639	17	165	8	113	14	39	15	40
mor	244	112	23	282	30	30	30	154	1	31	10	62	27	10	144	177	248	19	137	16	37	33	31	13	13
mos	15	2	12	9	9	1	29	28	3	4	0	6	0	8	17	30	6	2	13	0	0	0	1	1	4
mot	14	20	0	22	0	1	2	12	1	4	1	7	1	0	12	38	61	0	12	0	6	0	4	1	4
mou	270	385	1	516	74	169	63	516	8	45	27	95	0	1	4	325	1337	32	376	20	103	3	34	6	80
mov	6	0	1	4	0	1	0	3	0	0	0	10	1	1	5	6	0	0	4	0	0	0	2	0	0
moy	0	21	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	40	0	0	0	15
moz	4	0	0	2	0	0	0	0	0	0	0	2	0	1	1	1	1	0	0	0	0	0	0	0	1
moé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
moë	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0
moï	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
moû	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
mp 	0	4	0	22	0	0	0	5	0	0	0	3	0	1	1	0	9	0	0	0	0	1	0	0	0
mpa	0	28	2	70	6	20	4	53	0	1	2	15	0	0	2	1	133	7	0	2	26	4	10	0	5
mpe	121	10	9	21	8	1	5	13	2	4	23	0	0	0	0	1	21	3	0	2	14	0	1	0	3
mph	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
mpi	11	10	2	4	2	3	0	9	1	0	3	4	0	0	1	3	8	0	0	0	12	0	3	0	0
mpl	4	13	1	17	4	7	5	35	2	3	2	2	3	0	4	0	18	0	0	4	22	1	2	1	0
mpn	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	6	0	0	0	0
mpo	0	15	3	1	1	1	3	4	1	1	1	1	0	0	0	0	3	0	0	0	14	0	1	0	3
mpr	1	9	6	41	4	1	1	28	0	1	2	12	0	1	1	2	52	6	0	1	5	0	1	0	0
mps	0	3	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	14	0	0	0	0
mpt	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	0	0	0	2
mpu	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	3	5	0	0	0	0
mpy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mpz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mpé	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
mpï	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
mq 	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mqu	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mr 	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mre	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ms 	0	0	2	0	0	1	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	1	0	5
msa	0	2	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mse	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mte	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
mté	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mu
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	1	0
mu 	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0
mua	2	0	0	1	0	1	0	3	0	0	0	1	0	0	0	2	1	0	1	1	3	0	0	0	1
muc	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mud	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mue	18	14	0	30	3	6	3	5	0	4	2	11	2	0	12	11	21	1	13	16	3	0	1	0	1
mug	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
mui	4	3	4	0	3	0	0	1	0	0	0	4	1	0	2	5	1	0	5	1	1	0	0	0	0
mul	0	0	0	7	0	1	1	0	1	0	0	0	17	1	2	3	2	0	1	0	1	0	0	0	0
mum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
mun	2	0	3	6	2	0	3	14	1	3	0	1	2	0	6	4	17	1	5	0	2	0	0	0	0
muo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mur	25	12	0	46	2	6	0	21	0	0	0	7	2	1	21	13	14	2	11	0	3	1	2	0	0
mus	2	4	1	7	0	2	2	10	2	0	1	6	1	3	5	11	11	0	2	5	0	0	0	0	1
mut	3	2	0	4	0	5	3	5	0	1	0	0	1	1	2	2	2	1	2	1	2	0	0	0	0
muy	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
muz	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
muç	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mué	0	3	0	11	2	0	0	0	0	0	0	0	1	0	0	1	4	0	0	1	2	0	0	0	2
muë	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
mve	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mvo	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
my
	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
my 	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	1
myn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
myr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mys	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mèd	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mèl	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mèr	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0
mès	0	0	0	0	0	0	0	0	0	35	0	0	0	0	1	0	0	0	0	0	0	0	31	0	0
mé
	7	4	0	4	2	0	0	9	0	0	0	0	0	0	2	5	22	0	2	0	0	0	2	0	0
mé 	7	7	0	83	1	3	0	6	0	2	0	3	1	0	12	11	9	2	10	0	16	1	0	0	3
méd	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mée	0	0	0	2	3	0	2	0	8	3	0	1	0	0	0	0	38	0	0	0	1	0	0	0	3
még	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mén	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mér	0	0	0	43	47	0	25	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
més	6	23	0	24	9	8	4	6	0	0	1	0	0	0	9	39	34	0	5	0	11	0	0	0	1
mét	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
méu	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
méz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mîe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mîs	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mïe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mïé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
müe	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
n
a	8	10	1	39	5	2	2	23	0	4	5	12	0	0	15	19	8	1	10	1	1	1	2	0	2
n
b	2	4	0	8	1	0	1	6	0	0	0	1	0	0	1	1	2	0	3	2	1	0	0	0	0
n
c	12	13	1	29	2	1	5	11	2	2	3	16	1	0	16	11	35	1	7	1	2	3	1	0	2
n
d	16	16	1	32	10	4	6	28	0	8	1	15	0	0	15	18	45	1	14	2	3	1	4	1	2
n
e	22	41	4	49	9	2	15	21	1	11	2	24	0	0	32	54	50	1	26	2	1	2	3	4	8
n
f	1	4	0	8	2	0	1	3	0	1	0	5	0	0	5	7	4	0	5	1	1	0	0	0	1
n
g	0	0	0	5	1	1	0	5	0	0	1	1	0	0	3	5	0	0	2	0	0	0	0	0	0
n
h	1	1	0	0	0	0	1	5	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0
n
i	0	0	0	6	1	1	3	6	0	4	2	3	0	0	3	3	2	1	2	2	0	3	2	0	3
n
j	9	4	0	14	1	0	0	11	0	0	1	10	0	0	2	9	5	0	1	1	0	0	3	0	3
n
k	0	0	0	0	0	0	8	0	0	4	0	0	0	0	0	1	8	0	1	0	0	0	0	0	0
n
l	13	12	1	46	3	3	1	17	0	4	2	5	1	0	17	26	19	7	15	8	2	3	3	2	5
n
m	19	10	0	15	4	2	2	18	0	2	1	8	0	0	18	17	17	2	13	3	0	0	5	0	4
n
n	17	14	0	28	6	1	1	24	0	2	0	9	0	0	14	18	17	2	12	0	1	2	7	0	0
n
o	4	13	0	13	1	0	2	17	0	0	1	6	0	0	1	10	12	1	4	2	0	0	0	0	1
n
p	8	19	0	31	2	3	2	19	0	3	0	8	0	0	7	12	19	0	12	3	2	0	2	1	3
n
q	25	40	0	51	9	1	0	37	2	7	0	17	0	0	24	64	38	2	19	2	1	2	12	1	6
n
r	0	0	0	6	0	1	0	2	0	1	1	3	0	0	1	0	6	0	2	0	0	0	1	0	0
n
s	12	34	2	41	9	6	3	28	2	2	3	14	0	0	19	39	18	1	19	4	0	1	5	0	1
n
t	6	8	0	17	1	2	1	12	0	6	0	6	0	0	6	10	11	2	9	1	2	0	1	0	2
n
u	0	1	0	6	0	0	0	3	0	0	2	1	0	0	1	2	2	0	2	1	0	0	0	0	0
n
v	1	9	0	10	0	2	2	5	0	0	2	3	0	0	4	4	6	0	4	1	0	0	1	0	1
n
x	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
n
y	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
n
à	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
n
ç	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
n a	190	167	27	231	59	56	42	173	20	27	14	48	12	12	178	285	445	11	185	19	92	11	33	5	31
n b	43	29	1	88	11	9	18	31	3	9	1	11	3	7	28	39	62	2	28	5	25	2	5	1	10
n c	160	179	26	262	51	45	47	133	18	28	18	81	16	21	238	235	488	10	187	14	105	17	38	5	46
n d	116	116	15	217	33	48	24	132	10	18	28	47	18	7	108	136	326	15	128	12	114	9	34	2	29
n e	161	133	17	255	52	74	48	205	13	20	18	55	7	23	114	139	338	25	161	34	86	6	21	9	25
n f	94	83	26	211	39	75	41	148	3	19	5	52	8	13	90	99	254	6	101	11	63	4	24	0	26
n g	46	37	9	86	20	31	13	56	1	9	3	14	0	5	49	53	109	3	33	3	27	6	7	3	7
n h	16	25	1	32	3	8	2	17	0	2	2	8	0	0	22	18	40	2	20	1	17	1	3	0	5
n i	55	53	8	67	14	17	25	72	1	2	2	37	0	4	44	84	86	15	44	19	17	3	3	1	5
n j	30	20	0	29	4	14	4	10	1	6	2	11	3	1	21	19	32	0	20	7	16	3	4	0	6
n k	0	1	0	0	0	22	4	0	0	0	0	0	0	1	0	1	17	0	0	0	0	0	0	0	0
n l	200	173	18	433	45	59	62	172	20	30	19	91	13	25	200	288	541	14	192	44	129	2	31	5	56
n m	114	111	8	201	24	39	21	119	6	20	9	54	9	2	130	132	257	7	117	15	50	0	22	2	19
n n	115	75	1	107	11	14	15	74	3	3	6	24	4	7	110	101	122	7	117	3	23	2	15	3	13
n o	64	64	4	102	11	15	9	97	4	15	2	28	1	9	57	84	133	9	67	11	30	3	8	1	11
n p	167	164	25	324	45	70	59	214	15	38	16	95	6	19	210	212	533	7	167	12	99	8	41	1	55
n q	37	56	5	84	6	12	0	50	6	12	3	40	2	0	63	60	165	7	44	13	57	2	10	2	8
n r	46	33	21	97	23	16	7	44	4	5	3	15	6	2	47	57	107	4	46	3	23	3	11	3	9
n s	200	196	28	328	68	83	66	186	22	40	17	69	14	20	222	224	510	20	198	17	98	8	45	7	45
n t	66	83	17	199	28	24	28	97	8	9	6	39	8	6	111	135	204	15	74	23	44	3	8	4	6
n u	17	18	1	46	3	15	4	17	1	4	2	4	1	0	23	20	23	1	33	10	21	4	3	0	1
n v	109	130	19	197	34	22	23	97	3	15	4	75	4	12	145	165	276	6	134	9	37	5	22	8	19
n w	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
n x	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0
n y	0	12	0	1	0	0	0	0	1	0	1	0	0	0	0	3	13	0	0	0	1	0	0	0	1
n à	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	27	0	0	1	0	0	0	0	0
n ç	0	0	0	7	1	1	0	7	0	0	0	0	0	0	1	1	1	2	3	0	0	0	0	0	0
n é	0	0	0	16	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
na
	5	14	0	13	0	0	2	14	0	1	0	3	2	0	4	19	98	2	7	1	0	0	1	0	2
na 	45	43	0	70	15	39	6	55	1	9	3	29	3	4	53	59	63	4	50	3	40	0	8	2	8
naa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
nab	7	0	0	4	0	1	0	2	0	0	0	0	0	0	5	2	60	0	1	0	15	0	0	0	2
nac	1	5	1	9	0	0	0	10	0	0	0	3	0	1	9	6	2	0	15	0	1	0	0	0	0
nad	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	1	0	0	0	0	0	0
nae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
naf	2	3	0	6	0	0	0	1	0	0	0	0	0	1	1	1	2	0	0	0	1	0	0	0	0
nag	4	1	3	35	0	10	1	13	0	0	0	4	2	0	2	11	13	0	13	0	11	1	2	0	4
nah	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
nai	26	43	3	27	7	12	4	34	1	4	1	39	6	4	38	45	84	5	64	4	2	0	7	2	5
naj	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
nal	10	2	0	6	0	2	3	2	0	2	1	2	1	0	6	13	3	2	3	0	21	0	0	0	4
nam	9	1	0	3	1	2	2	6	0	1	0	3	0	0	3	5	9	1	0	5	1	0	0	0	0
nan	111	64	3	62	4	4	15	41	2	4	4	9	4	6	150	155	130	2	122	4	44	1	3	1	6
nao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
nap	5	5	0	3	0	0	1	0	0	0	0	0	0	0	1	10	9	0	4	1	1	1	0	0	1
naq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
nar	4	10	0	8	8	2	6	6	0	0	0	0	0	7	9	1	16	1	2	5	2	0	2	0	2
nas	12	16	0	10	1	0	1	21	0	4	0	7	1	17	19	14	33	2	7	2	3	0	2	1	1
