Texte A	Texte B	Cosinus	Jaccard
AlexisOctP	ErecF	 0.8867	 0.5344
AlexisOctP	DancusM	 0.8495	 0.5237
AlexisOctP	JAvesnesFilleB	 0.8193	 0.4802
AlexisOctP	JugAmD	 0.8396	 0.5216
AlexisOctP	OmbreB2	 0.8930	 0.5807
AlexisOctP	UnicornecW	 0.8427	 0.4328
AlexisOctP	AlexisPQ	 0.8306	 0.5824
SGeorgDeG	MeraugisF	 0.8297	 0.4557
SGeorgDeG	SGeorgVosL	 0.8186	 0.4894
SGeorgDeG	AigarB	 0.6485	 0.3991
SGeorgDeG	LancJ	 0.8059	 0.4143
SGeorgDeG	PercevalKu	 0.8003	 0.4012
SGeorgDeG	CleomHas	 0.8603	 0.3796
SGeorgDeG	BenTroieC_4partial	 0.7933	 0.4572
SGeorgDeG	ErecF	 0.8113	 0.4098
SGeorgDeG	DancusM	 0.7284	 0.4727
SGeorgDeG	JAvesnesFilleB	 0.8337	 0.4843
SGeorgDeG	JugAmD	 0.8167	 0.5037
SGeorgDeG	OmbreB2	 0.8110	 0.4992
SGeorgDeG	UnicornecW	 0.8242	 0.4424
SGeorgDeG	AlexisPQ	 0.8763	 0.5416
MeraugisF	SGeorgVosL	 0.8340	 0.4534
MeraugisF	AigarB	 0.7116	 0.4305
MeraugisF	LancJ	 0.9418	 0.6397
MeraugisF	PercevalKu	 0.9295	 0.6292
MeraugisF	CleomHas	 0.9044	 0.5428
MeraugisF	BenTroieC_4partial	 0.8656	 0.5269
MeraugisF	ErecF	 0.9282	 0.6663
MeraugisF	DancusM	 0.8210	 0.5061
MeraugisF	JAvesnesFilleB	 0.8104	 0.4860
MeraugisF	JugAmD	 0.8935	 0.4916
MeraugisF	OmbreB2	 0.9245	 0.5790
MeraugisF	UnicornecW	 0.8669	 0.3893
MeraugisF	AlexisPQ	 0.8526	 0.5303
SGeorgVosL	AigarB	 0.6980	 0.4318
SGeorgVosL	LancJ	 0.8240	 0.4125
SGeorgVosL	PercevalKu	 0.8188	 0.4046
SGeorgVosL	CleomHas	 0.8181	 0.3705
SGeorgVosL	BenTroieC_4partial	 0.7902	 0.4577
SGeorgVosL	ErecF	 0.8290	 0.4179
SGeorgVosL	DancusM	 0.7772	 0.4836
SGeorgVosL	JAvesnesFilleB	 0.7535	 0.4086
SGeorgVosL	JugAmD	 0.8085	 0.4694
SGeorgVosL	OmbreB2	 0.8029	 0.4900
SGeorgVosL	UnicornecW	 0.8010	 0.4243
SGeorgVosL	AlexisPQ	 0.7966	 0.4711
AigarB	LancJ	 0.6835	 0.4159
AigarB	PercevalKu	 0.6714	 0.4069
AigarB	CleomHas	 0.6759	 0.3562
AigarB	BenTroieC_4partial	 0.7792	 0.4440
AigarB	ErecF	 0.7027	 0.4221
AigarB	DancusM	 0.6170	 0.4320
AigarB	JAvesnesFilleB	 0.6474	 0.3855
AigarB	JugAmD	 0.7000	 0.4303
AigarB	OmbreB2	 0.6528	 0.4269
AigarB	UnicornecW	 0.6913	 0.4167
AigarB	AlexisPQ	 0.6536	 0.4179
LancJ	PercevalKu	 0.9824	 0.7269
LancJ	CleomHas	 0.8791	 0.5732
LancJ	BenTroieC_4partial	 0.8103	 0.4875
LancJ	ErecF	 0.9736	 0.6963
LancJ	DancusM	 0.8503	 0.4836
LancJ	JAvesnesFilleB	 0.7989	 0.4710
LancJ	JugAmD	 0.8714	 0.4447
LancJ	OmbreB2	 0.8968	 0.5276
LancJ	UnicornecW	 0.8594	 0.3522
LancJ	AlexisPQ	 0.8215	 0.5136
PercevalKu	CleomHas	 0.8692	 0.5796
PercevalKu	BenTroieC_4partial	 0.7921	 0.4828
PercevalKu	ErecF	 0.9715	 0.7068
PercevalKu	DancusM	 0.8497	 0.4771
PercevalKu	JAvesnesFilleB	 0.7868	 0.4616
PercevalKu	JugAmD	 0.8576	 0.4278
PercevalKu	OmbreB2	 0.8905	 0.5103
PercevalKu	UnicornecW	 0.8516	 0.3375
PercevalKu	AlexisPQ	 0.8131	 0.4955
CleomHas	BenTroieC_4partial	 0.8163	 0.4180
CleomHas	ErecF	 0.8748	 0.5759
CleomHas	DancusM	 0.8064	 0.4279
CleomHas	JAvesnesFilleB	 0.8372	 0.4635
CleomHas	JugAmD	 0.8746	 0.3645
CleomHas	OmbreB2	 0.8874	 0.4485
CleomHas	UnicornecW	 0.8792	 0.2980
CleomHas	AlexisPQ	 0.8858	 0.4797
BenTroieC_4partial	ErecF	 0.8274	 0.5101
BenTroieC_4partial	DancusM	 0.7033	 0.4882
BenTroieC_4partial	JAvesnesFilleB	 0.7348	 0.4279
BenTroieC_4partial	JugAmD	 0.8573	 0.4901
BenTroieC_4partial	OmbreB2	 0.7956	 0.5231
BenTroieC_4partial	UnicornecW	 0.8132	 0.4110
BenTroieC_4partial	AlexisPQ	 0.7939	 0.4928
ErecF	DancusM	 0.8436	 0.4860
ErecF	JAvesnesFilleB	 0.8023	 0.4646
ErecF	JugAmD	 0.8836	 0.4439
ErecF	OmbreB2	 0.8882	 0.5260
ErecF	UnicornecW	 0.8567	 0.3492
ErecF	AlexisPQ	 0.8403	 0.5070
DancusM	JAvesnesFilleB	 0.7894	 0.4549
DancusM	JugAmD	 0.7668	 0.5034
DancusM	OmbreB2	 0.7964	 0.5149
DancusM	UnicornecW	 0.7981	 0.4276
DancusM	AlexisPQ	 0.7563	 0.4960
JAvesnesFilleB	JugAmD	 0.7898	 0.4263
JAvesnesFilleB	OmbreB2	 0.8000	 0.4564
JAvesnesFilleB	UnicornecW	 0.7854	 0.3653
JAvesnesFilleB	AlexisPQ	 0.8684	 0.5202
JugAmD	OmbreB2	 0.8624	 0.5670
JugAmD	UnicornecW	 0.8430	 0.4692
JugAmD	AlexisPQ	 0.8445	 0.4893
OmbreB2	UnicornecW	 0.8498	 0.4527
OmbreB2	AlexisPQ	 0.8574	 0.5476
UnicornecW	AlexisPQ	 0.8421	 0.4169
