ngramme	BenTroieC_1partial	SGeorgDeG	AlexisPQ	BenTroieC_4partial	Yvain	MeraugisF	ChaceP	DancusM	AlexisOctP	PercevalKu	AlexisP13	Cliges	JugAmD	AlexisP11	JAvesnesFilleB	FillePonth1B1	SGeorgVosL	ThebesC	AigarB	UnicornecW	LancJ	ErecF	CleomHas	AlexisPRI	OmbreB2
hu	4	3	1	0	3	3	0	0	1	6	0	1	0	0	1	0	0	2	0	0	5	3	6	3	0

hà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0

hé	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0

i
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

i 	26	0	0	2	4	16	0	1	1	40	1	21	0	0	1	1	0	8	0	1	4	10	48	0	1

ia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0

ic	20	0	0	5	3	2	0	1	0	11	0	3	1	3	0	0	0	12	0	0	1	1	9	3	1

id	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0

ie	2	0	0	0	2	0	0	1	0	1	0	2	0	0	0	0	0	1	0	1	1	2	2	0	0

ii	11	0	0	0	0	8	0	2	4	13	3	2	0	1	0	0	0	7	0	0	0	0	13	5	0

il	21	12	28	3	24	34	4	11	18	46	17	17	9	15	3	11	5	170	0	7	27	24	55	35	28

im	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

in	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0

io	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0

ip	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

ir	5	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	3	9	1	1

is	8	0	0	1	0	3	0	1	4	0	0	4	2	0	0	1	0	20	0	0	3	6	1	1	0

it	3	0	0	0	1	4	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1

iv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0

iç	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0

j 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1

ja	119	3	9	3	51	31	0	1	4	53	15	65	3	7	1	4	0	80	4	2	65	54	32	10	7

je	0	9	20	0	42	34	1	2	4	58	3	30	11	0	3	1	6	3	0	0	38	58	95	2	17

jh	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ji	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

jo	32	0	0	0	6	9	0	7	1	5	5	4	0	0	2	6	11	79	0	0	5	3	19	9	0

ju	15	0	1	3	14	2	0	4	0	20	0	8	0	1	0	0	1	42	1	0	8	19	13	0	0

jà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0

já	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

jö	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

k 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0

ka	0	0	0	0	1	0	0	0	9	1	45	0	0	0	0	0	0	0	13	0	0	0	100	0	0

ke	0	0	0	0	4	0	0	0	21	8	90	0	0	0	0	3	0	0	33	0	6	6	76	0	0

ki	0	0	0	0	0	0	0	0	3	0	39	0	0	0	0	2	0	0	10	0	0	0	0	0	0

kl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0

ko	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0

kà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0

ké	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0

l 	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0

la	153	13	32	27	95	96	7	19	9	153	10	109	15	12	2	6	15	202	8	6	184	176	329	21	21

lc	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

ld	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

le	132	28	36	13	146	88	17	21	17	216	20	157	6	3	4	7	7	225	1	14	130	166	413	19	17

li	113	0	8	15	131	114	7	13	7	204	34	157	19	11	0	13	21	362	3	4	183	252	380	29	20

ll	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0

lo	45	10	14	12	58	59	11	6	14	66	1	72	5	4	3	3	11	46	10	5	78	67	310	2	5

ls	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

lt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

lu	7	2	1	0	11	1	2	2	5	10	3	13	2	1	1	2	0	26	1	0	6	16	40	2	0

ly	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0

là	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	81	0	0

lè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0

lé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	7	1	0

lï	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

m 	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0

ma	206	6	5	17	251	18	6	17	2	51	37	36	3	15	2	8	4	263	19	3	48	52	487	25	10

me	38	4	28	3	122	132	10	17	8	296	6	330	4	5	2	10	4	43	0	0	331	251	115	6	9

mi	20	0	1	2	10	2	2	2	1	7	2	10	1	2	1	5	0	35	1	0	11	8	20	4	0

mo	263	5	12	14	81	39	1	7	19	78	12	97	4	2	3	11	2	179	5	2	106	138	311	10	10

mu	2	0	0	0	2	3	0	5	0	0	0	0	0	0	0	0	5	3	0	0	0	2	5	0	0

my	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

mè	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19

mé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0

n 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0

na	27	0	1	1	17	14	0	3	2	38	2	19	1	2	0	2	0	35	0	0	42	33	46	3	3

ne	349	3	9	29	233	81	9	6	22	227	51	316	17	29	2	4	4	382	1	5	291	244	486	60	39

ni	49	0	0	6	26	7	1	1	4	18	6	25	1	4	0	0	0	44	1	0	24	26	29	4	2

no	29	5	2	1	27	28	1	2	6	35	6	36	0	3	2	3	0	48	7	1	26	19	70	7	10

nu	18	2	4	1	10	13	1	3	1	9	1	7	1	0	0	0	1	17	0	1	15	12	34	1	5

ny	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

nà	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0

nè	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0

né	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0

o 	50	0	0	8	0	2	0	0	0	0	0	2	0	3	1	0	2	96	4	0	2	3	8	1	1

ob	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0

oc	7	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	7	0	0	1	2	0	0	0

od	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0

oe	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

of	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0

og	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

oh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

oi	5	0	0	0	0	3	0	7	1	2	0	3	0	0	0	0	0	3	0	0	3	2	4	2	0

ol	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

om	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

on	93	3	5	7	16	17	1	2	1	16	4	17	1	2	0	0	1	86	0	1	28	37	45	3	7

oq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0

or	43	3	3	1	51	29	4	2	10	71	25	61	0	10	0	5	2	44	0	15	57	60	112	16	21

os	2	0	0	0	1	0	0	0	0	13	1	3	0	0	0	0	0	1	1	0	2	4	0	2	0

ot	9	1	0	0	5	6	0	0	0	17	5	2	1	0	0	1	0	27	0	0	10	7	44	9	2

ou	37	8	3	1	62	37	3	3	10	71	11	41	5	5	0	0	2	42	0	0	48	46	82	0	9

ov	3	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0

oy	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0

oz	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0

oë	6	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

oï	7	0	0	0	10	9	0	0	0	14	0	5	0	0	0	0	2	6	0	0	6	5	3	0	0

où	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	72	0	0

oÿ	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

pa	134	5	11	11	73	56	6	5	10	96	12	97	6	15	2	4	6	234	3	2	81	76	249	26	18

pe	17	1	2	2	7	5	0	0	2	23	0	6	0	1	1	5	1	17	8	0	3	3	35	2	0

ph	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

pi	0	1	0	0	1	1	0	3	0	3	2	0	0	0	0	1	1	7	0	0	2	1	30	1	2

pl	27	3	2	6	30	22	1	4	4	28	0	24	1	7	1	4	2	38	0	1	19	27	71	12	4

po	127	9	16	8	112	77	7	9	23	159	19	138	4	19	0	3	13	265	7	3	125	143	362	31	21

pr	34	1	0	4	8	14	0	15	1	15	6	13	2	3	1	2	2	37	0	0	14	11	43	4	3

pu	39	2	17	3	35	11	7	6	1	47	15	17	3	0	1	1	1	58	0	1	36	42	70	14	7

pö	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

qa	0	0	0	0	0	0	0	0	0	81	0	128	0	0	0	0	0	0	0	0	14	0	0	0	0

qe	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0

qu	849	73	100	84	1039	370	50	67	115	1395	2	852	66	50	1	8	32	928	5	74	987	961	2164	141	110

