ngramme	BenTroieC_1partial	SGeorgDeG	AlexisPQ	BenTroieC_4partial	Yvain	MeraugisF	ChaceP	DancusM	AlexisOctP	PercevalKu	AlexisP13	Cliges	JugAmD	AlexisP11	JAvesnesFilleB	FillePonth1B1	SGeorgVosL	ThebesC	AigarB	UnicornecW	LancJ	ErecF	CleomHas	AlexisPRI	OmbreB2
maa	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
mab	0	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0
mac	8	0	0	1	5	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	6	0	2
mad	0	0	0	0	1	0	0	0	0	27	0	0	0	0	2	1	0	1	0	0	0	1	737	0	0
maf	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
mag	56	5	10	2	9	5	1	3	7	3	9	9	0	8	3	3	7	41	0	1	13	14	17	1	1
mah	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0
mai	488	15	35	44	529	89	10	49	6	259	99	192	10	44	36	91	27	557	30	20	208	236	1112	97	37
maj	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mal	32	7	7	1	71	19	2	15	19	124	15	88	2	4	26	14	4	79	9	5	76	48	123	22	4
mam	5	1	2	1	8	6	0	2	5	23	0	8	2	0	0	1	3	9	0	0	11	13	19	2	8
man	151	21	5	3	117	73	10	51	11	511	34	483	5	14	30	60	10	161	26	7	502	514	608	46	18
map	1	0	1	0	7	1	1	0	1	3	1	7	0	1	0	0	0	6	0	0	1	5	2	1	2
maq	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mar	53	12	10	6	25	35	2	5	12	28	20	29	0	6	79	61	4	78	10	2	26	21	240	18	3
mas	11	0	1	4	16	5	0	0	1	16	8	20	1	2	1	0	0	19	7	1	20	17	20	6	4
mat	9	0	5	1	11	11	2	4	6	23	2	10	1	4	3	0	0	28	5	0	19	16	40	2	0
mau	36	1	3	3	27	22	1	6	2	23	9	21	2	0	0	7	0	46	30	2	17	31	42	2	4
mav	5	0	4	0	19	2	2	0	3	25	0	11	0	0	0	6	0	4	1	0	13	19	30	3	3
max	0	0	0	0	1	0	0	0	0	10	0	21	0	0	0	0	0	0	0	0	11	0	0	0	0
may	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	1
maz	1	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
maç	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	3	1	0	0
maî	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
maï	1	0	0	1	6	0	0	0	0	20	0	2	0	0	0	1	0	1	0	0	18	0	6	0	3
maü	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
maÿ	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mb 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mba	25	0	0	2	13	10	0	2	0	0	4	0	2	0	5	0	0	46	1	0	3	0	89	2	0
mbd	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mbe	16	2	1	1	14	3	0	1	0	0	1	0	1	1	1	0	0	41	1	0	0	0	34	0	2
mbi	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	1	0	1	0	0	1	0	0
mbl	82	3	10	2	67	55	7	6	14	1	16	1	3	13	19	20	5	111	0	4	1	0	235	23	9
mbo	0	0	0	0	1	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
mbr	37	4	11	5	37	3	0	6	3	0	18	1	0	12	5	11	0	55	0	0	2	1	92	20	16
mbu	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	5	0	0
mce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mde	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mdu	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
me
	17	5	0	0	63	13	0	4	12	48	0	50	0	9	3	10	2	36	0	4	32	46	10	9	14
me 	283	17	89	16	516	178	14	19	73	496	149	331	13	53	125	248	18	307	9	12	392	402	690	165	98
mea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
mec	1	0	0	1	2	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	1	0	1	2
med	49	0	0	5	4	0	0	21	0	35	12	3	0	22	3	0	0	54	0	1	5	3	1	27	0
mee	17	0	0	3	11	2	0	0	0	18	3	13	2	0	2	2	0	15	0	2	4	10	0	0	0
mef	0	0	2	0	7	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0
meg	0	0	2	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meh	0	0	0	0	4	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	2	0	0
mei	145	0	0	13	11	9	0	6	22	116	5	28	1	8	0	1	1	325	14	0	79	38	37	6	3
mej	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mel	9	0	2	0	19	12	2	2	3	27	1	1	1	0	0	1	1	21	5	1	64	41	52	2	0
mem	8	3	3	1	7	0	0	1	0	4	5	1	0	2	6	0	0	16	1	0	0	2	5	4	3
men	502	36	79	42	399	135	41	38	62	195	137	74	37	38	180	100	46	674	15	16	105	133	1854	85	39
meo	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mer	170	8	20	21	129	200	4	7	17	223	26	127	5	25	52	31	7	147	7	5	134	119	479	45	18
mes	235	22	23	23	388	297	18	22	37	773	58	640	15	39	32	95	13	325	27	13	637	550	504	62	39
met	34	2	3	6	60	29	13	45	6	70	7	80	1	15	6	4	2	71	3	4	73	44	85	13	14
meu	0	1	1	0	14	0	0	2	3	0	0	0	0	0	5	0	0	7	1	0	0	1	10	1	1
mev	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mez	23	1	59	3	23	9	0	1	2	30	0	21	3	0	46	0	0	26	0	0	24	27	34	0	1
meç	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
meë	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
meï	6	0	1	1	30	3	0	0	0	24	0	28	0	0	0	4	0	20	0	0	29	24	34	0	0
meü	9	0	0	0	7	2	0	0	0	11	0	16	0	0	0	0	0	2	0	0	9	5	47	0	1
mfa	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mfi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mfo	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mfu	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mi
	7	0	1	0	6	0	0	1	0	6	0	11	0	3	1	0	0	3	0	0	4	5	22	4	10
mi 	57	1	5	6	49	37	1	2	4	65	7	45	2	4	2	19	1	14	2	4	48	67	75	18	9
mia	0	0	0	1	0	0	0	3	0	55	0	39	0	0	0	0	1	1	0	0	48	33	5	0	0
mib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mic	1	0	0	0	0	10	0	0	0	1	0	1	0	0	0	0	0	7	0	0	0	0	2	0	0
mid	3	0	0	1	5	2	0	0	0	3	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0
mie	152	9	27	6	155	96	26	20	21	195	43	143	27	15	26	50	3	149	2	13	152	140	233	35	48
mil	57	1	3	6	11	1	4	1	2	6	7	8	0	2	8	0	3	110	14	0	6	7	28	4	0
mim	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
min	9	2	4	1	16	11	0	2	6	25	4	16	0	1	10	2	0	47	1	1	24	27	30	6	2
mio	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mir	10	5	3	0	11	1	0	3	2	13	4	31	1	1	10	3	3	18	2	0	6	10	29	2	1
mis	101	13	32	7	84	23	3	0	13	114	22	113	4	8	22	30	4	175	1	2	88	119	169	20	31
mit	0	0	4	0	5	0	0	1	1	14	1	3	0	0	0	0	0	3	1	0	6	1	0	0	0
miu	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
miv	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
mix	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
miz	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	3	0	0	0
miè	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
mié	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0
mië	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mla	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
mli	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mma	0	8	2	1	0	0	3	7	2	0	1	0	0	0	36	5	0	0	0	0	0	0	95	16	4
mme	23	27	45	1	4	0	8	17	32	0	13	25	3	6	130	40	0	4	0	6	3	7	304	26	34
mmi	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmo	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0
mmu	0	0	0	0	0	0	1	0	4	0	2	0	0	1	1	0	0	0	0	0	0	0	11	1	0
mmy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmé	0	1	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	21	0	0
mnd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mne	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	34	0	0	0	0	0	0	0
mni	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mno	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mné	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mo 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
mob	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0
moc	1	0	0	0	2	4	0	0	0	5	1	2	0	0	0	3	0	4	0	1	5	5	5	0	0
mod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
moe	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	12	0	0
mof	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
moi	3	2	16	0	150	71	2	10	6	185	19	121	7	2	21	36	10	15	0	0	144	116	363	45	24
mok	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mol	0	1	0	1	1	0	0	0	2	1	6	3	14	13	0	44	2	12	5	0	376	4	2	2	0
mom	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mon	109	16	39	17	154	100	13	8	43	194	7	139	14	11	51	63	15	293	13	15	171	165	628	24	38
mor	150	8	13	18	110	61	1	16	29	177	30	243	32	22	14	25	26	275	10	13	144	137	234	29	31
mos	27	0	3	2	2	6	3	0	4	30	29	15	0	12	0	1	0	9	8	1	17	13	6	9	1
mot	12	1	4	0	19	7	1	0	4	38	2	14	0	0	4	1	1	22	0	1	12	12	60	0	4
mou	510	27	73	31	378	94	7	20	45	325	62	269	3	1	54	102	0	510	1	6	3	376	1327	73	32
mov	3	0	0	0	0	8	0	0	0	6	0	6	0	1	0	1	1	4	1	0	5	4	0	0	2
moy	0	8	15	0	19	0	0	0	0	0	2	0	0	0	16	0	0	0	0	0	0	0	0	0	0
moz	0	0	0	0	0	2	0	0	0	1	0	4	0	0	0	0	0	2	1	0	1	0	0	0	0
moé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
moë	4	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
moï	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
moû	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mp 	5	0	0	0	4	3	0	0	0	0	0	0	1	0	0	0	0	21	1	0	1	0	9	0	0
mpa	53	2	5	7	28	15	0	2	1	1	4	0	4	2	12	15	0	69	0	0	2	0	131	6	10
mpe	13	22	3	3	10	0	2	2	4	1	5	121	0	9	8	0	0	20	0	0	0	0	20	8	1
mph	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0	0	0	0	0	0	0
mpi	9	3	0	0	10	4	1	0	0	3	0	11	0	2	8	3	0	4	0	0	1	0	8	2	3
mpl	35	2	0	0	13	2	2	4	3	0	5	4	1	1	15	4	3	17	0	0	4	0	18	4	2
mpn	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
mpo	4	1	3	0	15	1	1	0	1	0	3	0	0	3	7	1	0	1	0	0	0	0	3	1	1
mpr	28	2	0	6	6	10	0	1	1	2	1	1	0	6	2	1	0	38	1	0	1	0	52	4	1
mps	0	3	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0
mpt	0	0	2	0	0	0	0	0	1	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0
mpu	1	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	7	0	0	0	0	6	0	0
mpz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mpé	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0
mpï	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mq 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mqu	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mr 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mre	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ms 	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	2	0	1
msa	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mse	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mte	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0
mu
	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0
mu 	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0
mua	3	0	1	0	0	1	0	1	0	2	0	2	0	0	1	0	0	1	0	0	0	1	1	0	0
muc	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mud	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mue	5	2	1	1	14	10	0	16	4	11	3	18	0	0	1	6	2	30	0	0	12	13	21	3	1
mug	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
mui	1	0	0	0	3	4	0	1	0	5	0	4	0	4	1	0	1	0	0	0	2	5	1	3	0
mul	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	1	17	7	1	0	2	1	2	0	0
mum	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mun	14	0	0	1	0	1	1	0	2	4	3	2	0	3	0	0	2	6	0	0	6	5	17	2	0
muo	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mur	21	0	0	2	12	6	0	0	0	13	0	25	1	0	0	5	2	45	1	0	21	11	13	2	2
mus	9	1	1	0	4	6	2	5	0	11	2	2	0	1	0	2	1	7	3	0	5	2	11	0	0
mut	5	0	0	1	2	0	0	1	1	2	3	3	0	0	1	5	1	4	1	0	2	2	2	0	0
muy	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
muz	2	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
muç	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mué	0	0	2	0	3	0	0	1	0	1	0	0	0	0	0	0	1	10	0	0	0	0	4	2	0
muë	7	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mve	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mvo	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
my
	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
my 	0	7	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
myr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mys	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mèd	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mèl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
mèr	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	1	0
mès	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	31
mé
	9	0	0	0	4	0	0	0	0	4	0	7	0	0	0	0	0	4	0	0	2	2	22	2	2
mé 	5	0	3	2	7	3	0	0	2	11	0	7	1	0	8	2	1	82	0	0	12	10	9	1	0
méd	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mée	0	0	2	0	0	1	8	0	3	0	2	0	0	0	1	0	0	2	0	0	0	0	38	3	0
mén	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mér	0	0	18	0	0	0	0	0	6	0	23	0	0	0	0	0	0	42	0	0	0	0	0	47	0
més	6	1	1	0	23	0	0	0	0	39	4	6	0	0	4	7	0	24	0	0	9	5	34	9	0
mét	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
méu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
méz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mîe	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mîs	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mïe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mïé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
müe	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0
n
a	23	5	2	1	10	12	0	1	4	19	2	8	1	1	1	2	0	37	0	0	15	10	8	4	3
n
b	5	0	0	0	2	1	0	1	0	1	1	2	0	0	0	0	0	7	0	0	1	3	2	1	0
n
c	11	3	2	1	14	14	2	1	2	11	5	12	3	0	2	0	1	29	0	0	16	7	35	2	0
n
d	28	1	2	1	15	15	1	2	8	18	6	16	1	1	4	4	0	31	0	1	14	14	43	8	5
n
e	23	2	5	1	42	21	1	2	10	55	13	22	2	3	1	2	0	49	0	4	32	26	51	9	3
n
f	3	0	1	0	4	5	0	2	1	7	1	1	0	1	1	1	0	8	0	0	5	5	4	3	0
n
g	5	1	0	0	0	1	0	0	0	5	0	0	0	0	0	1	0	5	0	0	3	2	0	1	0
n
h	5	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0
n
i	6	2	3	1	0	3	0	2	4	3	3	0	3	0	0	1	0	7	0	0	2	2	1	2	2
n
j	10	1	3	0	4	10	0	1	0	9	0	9	0	0	0	0	0	12	0	0	2	1	5	1	2
n
k	0	0	0	0	0	0	0	0	5	1	8	0	0	0	0	0	0	0	0	0	0	1	8	0	0
n
l	16	1	6	7	12	4	0	8	4	25	1	13	3	1	1	3	1	41	0	2	17	15	17	3	2
n
m	18	1	4	2	10	8	0	3	2	17	2	19	0	0	0	1	0	17	0	0	17	13	16	4	5
n
n	22	0	0	2	14	10	0	0	2	18	1	16	2	0	1	0	0	27	0	0	14	12	15	6	6
n
o	17	1	1	1	13	7	0	2	0	10	2	4	0	0	0	1	0	11	0	0	1	4	11	1	0
n
p	19	0	3	0	18	8	0	3	3	12	2	8	0	0	1	3	0	31	0	1	8	12	18	2	2
n
q	35	0	6	3	38	15	2	2	6	64	0	25	2	0	0	1	0	50	0	1	23	19	36	8	11
n
r	2	1	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	6	0	0	1	2	5	0	1
n
s	27	3	1	1	30	14	0	4	2	39	3	13	1	2	0	3	0	35	0	0	21	19	17	8	4
n
t	12	0	1	0	8	8	0	1	6	10	1	6	0	0	1	3	0	15	0	0	6	9	11	1	1
n
u	3	2	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	6	0	0	1	2	2	0	0
n
v	5	2	1	0	9	3	0	1	0	4	2	1	0	0	0	2	0	10	0	0	4	4	6	0	1
n
x	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n
y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
n
à	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
n
ç	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0
n a	169	13	28	11	162	46	18	19	25	284	38	189	11	26	44	34	10	220	11	5	173	185	429	58	32
n b	31	1	7	2	29	11	3	5	9	39	17	43	2	1	12	8	3	85	6	1	28	28	62	10	5
n c	130	18	44	10	175	79	18	14	28	234	47	158	17	26	45	36	14	250	21	4	237	187	483	51	36
n d	129	28	27	15	107	46	9	12	18	136	24	115	8	15	57	33	18	209	7	2	108	128	315	33	34
n e	199	18	22	25	131	54	13	34	19	139	48	159	6	17	45	42	7	249	22	8	113	161	327	52	20
n f	144	5	25	6	82	51	2	11	19	99	41	93	4	26	36	51	8	206	13	0	90	101	250	38	24
n g	55	3	7	3	36	14	1	3	9	53	13	45	6	9	9	23	0	84	5	3	49	33	107	19	7
n h	17	2	5	2	25	7	0	1	2	18	2	16	1	1	9	7	0	31	0	0	22	20	40	3	3
n i	72	2	5	15	51	36	1	19	2	84	25	55	3	7	5	14	0	65	4	1	44	44	85	14	3
n j	10	2	5	0	18	10	1	7	6	19	3	30	3	0	8	12	3	27	1	0	21	20	32	4	4
n k	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	11	0	0	1	0	0	0	17	0	0
n l	171	19	53	14	169	88	19	44	29	288	61	198	2	17	65	48	10	417	24	5	200	192	534	43	29
n m	118	9	18	7	109	52	6	15	20	131	21	113	0	7	16	33	7	193	2	2	130	117	253	24	21
n n	73	6	13	7	70	23	3	3	3	101	15	114	2	1	13	10	4	101	7	3	109	117	116	11	14
n o	95	2	11	9	61	27	4	11	15	84	9	64	3	4	10	12	1	99	9	1	57	67	131	11	7
n p	206	16	51	6	156	92	14	12	38	211	57	164	8	24	52	55	6	308	19	1	208	167	521	44	41
n q	47	3	8	7	54	38	6	13	12	60	0	36	1	5	23	8	2	80	0	2	62	44	163	6	9
n r	41	2	9	3	31	14	4	3	5	57	7	45	2	21	11	11	6	94	2	2	46	46	99	20	10
n s	182	17	43	19	188	67	22	17	39	224	66	200	8	28	44	67	13	314	19	7	222	198	501	67	43
n t	94	6	6	15	81	37	8	23	9	135	28	65	3	15	22	23	8	189	5	4	110	74	202	27	7
n u	16	2	1	1	18	4	0	10	4	20	4	17	4	1	7	11	1	45	0	0	23	33	23	3	2
n v	90	4	16	6	127	72	2	9	14	165	22	108	5	19	15	11	4	182	11	8	143	134	268	34	21
n w	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
n x	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
n y	0	1	1	0	12	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0
n à	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	27	0	0
n ç	6	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	7	0	0	1	3	1	1	0
n é	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	1	0
na
	13	0	2	2	14	3	0	1	1	19	1	5	0	0	0	0	2	13	0	0	4	7	98	0	1
na 	54	3	8	4	43	29	1	3	9	59	6	44	0	0	23	32	3	70	4	2	53	50	58	15	7
naa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
nab	2	0	2	0	0	0	0	0	0	2	0	7	0	0	4	1	0	4	0	0	5	1	59	0	0
nac	10	0	0	0	5	3	0	0	0	6	0	1	0	1	0	0	0	9	1	0	9	15	2	0	0
nad	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0
nae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
naf	1	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	6	1	0	1	0	2	0	0
