Source;Target;Weight;jaccard;Type
AlexisP11;FillePonth1B1;0.7796;0.4311;Undirected
AlexisP11;SGeorgVosL;0.8136;0.4642;Undirected
AlexisP11;ThebesC;0.9029;0.4142;Undirected
AlexisP11;AigarB;0.7403;0.4743;Undirected
AlexisP11;UnicornecW;0.8215;0.4318;Undirected
AlexisP11;LancJ;0.8396;0.4441;Undirected
AlexisP11;ErecF;0.8316;0.4432;Undirected
AlexisP11;CleomHas;0.8254;0.3696;Undirected
AlexisP11;AlexisPRI;0.8901;0.5224;Undirected
AlexisP11;OmbreB2;0.8312;0.4926;Undirected
JAvesnesFilleB;FillePonth1B1;0.8432;0.4803;Undirected
JAvesnesFilleB;SGeorgVosL;0.7535;0.4086;Undirected
JAvesnesFilleB;ThebesC;0.8091;0.4462;Undirected
JAvesnesFilleB;AigarB;0.6474;0.3855;Undirected
JAvesnesFilleB;UnicornecW;0.7854;0.3653;Undirected
JAvesnesFilleB;LancJ;0.7989;0.4710;Undirected
JAvesnesFilleB;ErecF;0.8023;0.4646;Undirected
JAvesnesFilleB;CleomHas;0.8372;0.4635;Undirected
JAvesnesFilleB;AlexisPRI;0.8243;0.5023;Undirected
JAvesnesFilleB;OmbreB2;0.8000;0.4564;Undirected
FillePonth1B1;SGeorgVosL;0.7923;0.4355;Undirected
FillePonth1B1;ThebesC;0.8253;0.4667;Undirected
FillePonth1B1;AigarB;0.6453;0.4076;Undirected
FillePonth1B1;UnicornecW;0.8207;0.3928;Undirected
FillePonth1B1;LancJ;0.8159;0.5006;Undirected
FillePonth1B1;ErecF;0.8261;0.4936;Undirected
FillePonth1B1;CleomHas;0.8470;0.4695;Undirected
FillePonth1B1;AlexisPRI;0.8694;0.5458;Undirected
FillePonth1B1;OmbreB2;0.8253;0.5046;Undirected
SGeorgVosL;ThebesC;0.8521;0.3774;Undirected
SGeorgVosL;AigarB;0.6980;0.4318;Undirected
SGeorgVosL;UnicornecW;0.8010;0.4243;Undirected
SGeorgVosL;LancJ;0.8240;0.4125;Undirected
SGeorgVosL;ErecF;0.8290;0.4179;Undirected
SGeorgVosL;CleomHas;0.8181;0.3705;Undirected
SGeorgVosL;AlexisPRI;0.8443;0.4942;Undirected
SGeorgVosL;OmbreB2;0.8029;0.4900;Undirected
ThebesC;AigarB;0.7573;0.3861;Undirected
ThebesC;UnicornecW;0.8560;0.3088;Undirected
ThebesC;LancJ;0.8885;0.6195;Undirected
ThebesC;ErecF;0.8959;0.6487;Undirected
ThebesC;CleomHas;0.8731;0.5619;Undirected
