ngramme	freq-JugAmD	freq-LancJ	freq-AigarB	freq-ChaceP	freq-DancusM	freq-OmbreB2	freq-UnicornecW	freq-PercevalKu	freq-AlexisP13	freq-ErecF	freq-BenTroieC_4partial	freq-MeraugisF	freq-JAvesnesFilleB	freq-Yvain	freq-ThebesC	freq-AlexisPRI	freq-AlexisPQ	freq-CleomHas	freq-SGeorgDeG	freq-AlexisOctP	freq-BenTroieC_1partial	freq-FillePonth1B1	freq-AlexisP11	freq-SGeorgVosL	freq-Cliges
bez	0	1	0	0	0	0	0	4	0	2	0	0	2	1	5	0	0	0	0	0	4	0	0	0	4
beï	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0
bil	0	1	0	0	1	0	0	0	2	4	0	0	9	0	6	1	0	37	0	0	0	0	1	0	0
bli	0	4	2	10	0	0	4	14	6	13	2	5	8	13	18	13	1	69	1	1	17	1	2	0	14
blo	0	6	0	0	0	0	0	8	0	13	1	5	8	5	17	0	4	46	0	1	27	0	0	0	6
blé	0	5	0	0	0	1	0	4	1	7	0	2	5	2	10	2	0	40	0	1	13	2	0	0	3
blï	0	4	0	0	0	0	0	0	0	7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
boc	0	10	1	1	1	0	0	24	6	12	1	5	0	2	14	0	0	1	0	0	16	0	1	3	16
boe	0	49	0	0	1	0	0	35	2	1	0	0	0	0	0	0	0	0	0	11	0	0	0	2	48
boi	0	14	0	2	3	0	1	20	6	19	0	22	7	95	4	7	0	15	0	0	6	42	0	3	20
bot	0	6	0	0	0	0	0	5	2	9	1	0	0	0	3	0	0	0	0	3	5	0	0	0	5
boç	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0
br	0	12	2	0	0	1	0	15	1	23	2	11	2	6	30	0	2	73	0	2	13	1	1	2	25
bra	0	25	14	0	0	6	4	35	5	31	8	14	14	17	47	1	4	76	2	5	35	12	1	4	19
bro	0	2	1	0	2	0	0	1	0	6	3	3	2	6	47	1	0	10	0	0	7	0	1	1	7
bru	0	3	4	1	1	0	0	8	1	18	0	4	7	8	23	1	0	21	0	0	5	0	0	0	6
bu	0	2	0	2	3	0	0	12	4	36	1	0	0	1	5	1	0	4	0	0	10	0	0	0	3
buc	0	4	0	0	1	0	0	2	0	2	1	0	2	3	16	2	0	3	0	0	6	0	0	1	1
bue	0	13	0	0	0	2	0	16	3	65	2	2	2	1	5	2	0	6	0	0	26	0	0	0	13
bui	0	1	0	0	0	0	0	2	0	2	0	0	4	4	5	0	0	0	0	0	2	5	0	0	1
bur	0	1	0	1	5	0	0	2	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
but	0	1	0	0	0	0	0	2	2	2	0	0	0	2	2	2	1	5	0	0	0	2	0	0	2
bé	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
c b	0	4	2	0	1	1	1	2	3	11	0	2	0	1	8	0	0	9	0	1	1	1	0	0	2
c d	0	9	4	2	1	1	0	5	3	25	4	5	4	3	19	2	2	13	1	1	7	6	2	0	7
c f	0	3	4	0	2	0	1	3	2	19	1	1	5	2	12	0	2	8	2	2	8	7	0	0	9
c g	0	2	3	0	0	0	0	3	0	7	1	1	1	1	12	0	0	7	1	1	1	0	1	0	5
c i	0	2	0	0	1	0	1	6	1	5	0	0	5	0	2	1	0	2	0	0	4	7	1	0	2
c j	0	3	2	0	0	0	0	2	1	8	1	2	0	0	11	1	0	6	0	0	4	0	1	0	0
c k	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c l	0	4	3	2	1	1	1	1	1	12	0	1	2	1	8	3	0	17	0	0	3	4	2	1	2
c o	0	2	2	0	0	0	0	1	1	6	0	0	1	1	4	0	1	9	0	0	4	3	0	0	1
c q	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2
c r	0	4	3	0	2	0	0	6	3	43	1	2	3	2	19	2	2	7	0	1	7	1	2	0	6
c t	0	13	1	0	0	2	0	7	2	22	0	7	1	1	19	4	0	28	0	2	11	2	3	1	10
c ç	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
ca 	0	2	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	1	4	0	0	0
car	0	3	9	0	6	0	1	9	18	16	2	13	5	4	4	23	3	173	0	0	2	14	0	0	0
cea	0	11	0	0	0	0	0	21	0	9	1	0	1	0	4	0	0	64	0	0	1	4	0	0	4
ceo	0	3	0	0	0	0	0	10	3	3	0	0	0	0	3	2	0	0	0	0	1	1	0	0	0
ces	0	37	15	2	6	7	3	62	1	54	11	13	41	12	108	21	2	58	1	3	62	22	12	5	57
cet	0	3	1	0	3	0	0	1	1	3	0	2	20	0	0	0	1	5	1	0	2	4	2	0	4
cev	0	2	0	2	0	2	0	54	2	8	0	4	1	0	8	1	1	17	2	1	7	1	0	2	12
cez	0	4	0	0	0	0	0	12	0	11	5	6	59	0	4	0	2	0	0	0	10	0	1	0	14
ceï	0	3	0	0	0	0	0	4	0	1	0	4	0	0	8	0	0	4	0	0	0	0	0	0	0
ceü	0	9	0	0	0	1	2	2	0	10	0	6	0	3	24	0	0	41	0	0	6	2	0	0	11
ci	0	18	1	2	3	5	6	18	4	30	5	26	1	3	76	5	2	45	4	3	57	1	2	6	31
cia	0	7	0	2	5	0	0	11	0	11	2	1	6	1	0	1	0	16	1	0	1	5	0	1	5
cif	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
cin	0	11	1	0	31	1	1	26	0	29	6	2	2	1	45	3	1	20	0	0	17	0	2	0	9
cio	0	5	0	0	0	0	0	2	0	1	6	1	27	2	2	2	3	18	1	2	9	0	1	0	3
cir	0	12	0	0	5	0	2	10	1	13	0	13	6	5	26	0	0	19	0	1	14	9	0	0	3
cis	0	38	6	1	5	4	3	43	1	22	3	38	15	7	94	11	3	63	1	1	88	17	5	3	42
ciz	0	3	0	0	0	2	0	5	0	2	1	0	0	0	2	0	0	0	0	0	4	0	0	0	0
cié	0	21	0	1	0	0	0	13	12	13	1	2	5	0	17	16	3	34	0	6	14	6	0	4	10
cla	0	9	6	2	4	0	0	45	6	18	1	1	10	28	23	2	10	356	1	3	14	2	1	1	27
coa	0	4	3	0	0	0	0	6	0	6	0	5	0	0	14	0	0	0	0	0	5	0	0	0	8
coc	0	1	4	0	0	0	0	0	1	2	0	1	0	1	0	1	0	3	0	0	0	0	0	0	2
cod	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cog	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
