ngramme	freq-JugAmD	freq-LancJ	freq-AigarB	freq-ChaceP	freq-DancusM	freq-OmbreB2	freq-UnicornecW	freq-PercevalKu	freq-AlexisP13	freq-ErecF	freq-BenTroieC_4partial	freq-MeraugisF	freq-JAvesnesFilleB	freq-Yvain	freq-ThebesC	freq-AlexisPRI	freq-AlexisPQ	freq-CleomHas	freq-SGeorgDeG	freq-AlexisOctP	freq-BenTroieC_1partial	freq-FillePonth1B1	freq-AlexisP11	freq-SGeorgVosL	freq-Cliges
z b	3	27	0	0	3	2	0	55	0	55	2	13	35	3	61	0	6	15	2	5	42	0	1	0	32
z c	2	117	0	12	8	6	0	130	1	110	21	39	70	19	172	0	19	74	4	8	109	1	5	0	80
z d	4	111	0	1	5	5	0	110	0	78	19	44	82	16	118	0	26	46	0	11	99	0	18	0	64
z e	3	62	0	4	3	10	0	56	0	62	11	42	71	7	141	1	14	43	1	15	95	0	8	1	57
z f	2	49	0	2	9	8	0	82	0	62	3	27	46	14	108	0	10	25	1	6	77	1	3	1	49
z g	1	31	1	3	4	1	0	51	0	19	7	10	11	7	66	0	6	9	1	3	37	0	2	1	18
z h	1	21	0	0	0	2	0	22	0	15	2	10	13	5	42	0	1	10	1	3	43	0	2	0	19
z l	1	37	0	1	1	3	0	50	0	33	7	18	35	4	43	0	7	24	0	2	30	1	1	0	27
z m	3	63	0	2	12	15	0	99	0	63	3	26	43	23	132	0	15	47	1	10	82	0	2	0	64
z o	4	21	0	0	12	2	0	32	0	13	3	8	17	5	39	0	9	15	1	8	37	0	3	0	17
z p	4	117	0	4	14	10	0	128	0	84	13	34	91	21	159	0	31	82	4	14	122	0	16	0	76
z r	1	50	0	1	0	4	0	46	0	46	6	23	42	8	61	0	15	31	1	1	59	0	0	1	48
z s	2	61	1	4	7	5	0	74	0	62	5	28	41	14	112	0	13	27	0	2	105	0	5	0	44
z v	1	63	0	1	3	3	0	98	0	41	7	37	32	10	100	0	13	71	0	7	57	0	3	0	63
z y	1	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	1	0	1	0	1	0	0	0	0
z ç	1	1	0	0	0	0	0	5	0	6	0	2	0	0	10	0	0	3	0	0	8	0	0	0	2
ça	0	6	0	2	0	1	0	9	0	29	0	7	0	0	11	1	0	2	0	3	5	0	0	0	5
ça 	2	21	0	1	1	1	0	24	0	20	0	15	27	0	44	5	0	29	0	2	17	7	0	2	8
çut	1	1	0	0	0	1	0	4	0	14	0	0	0	0	7	1	0	5	0	1	6	2	0	0	4
é	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	0
é b	1	4	0	1	0	1	0	5	0	8	0	0	6	4	14	1	1	12	0	1	2	7	0	0	4
é c	2	15	0	2	4	4	0	14	0	9	0	7	28	14	30	3	9	27	0	1	18	5	0	1	18
é d	4	13	0	0	0	4	0	19	0	17	1	5	23	14	37	7	3	36	0	2	11	9	0	2	9
é g	1	2	0	0	2	0	0	4	0	2	2	2	11	3	11	3	2	8	0	1	10	0	0	0	6
é h	1	1	0	0	0	0	0	1	0	0	0	0	4	1	5	0	1	8	0	1	6	0	0	0	2
é j	1	4	0	0	1	0	0	0	0	4	0	1	5	2	19	0	0	5	0	1	2	7	0	1	0
é l	1	4	0	0	0	1	0	8	0	6	0	0	8	3	18	0	2	25	0	1	6	6	0	0	5
é o	1	6	0	0	2	0	0	8	0	4	0	5	5	5	18	1	1	12	0	1	4	2	0	0	2
é p	3	15	0	2	6	1	0	23	0	18	5	6	24	18	64	5	10	51	0	7	23	12	0	3	16
é q	1	2	0	0	0	0	0	0	0	2	0	2	2	4	3	0	0	1	0	0	1	2	0	0	6
é t	1	18	0	1	0	2	0	14	1	12	0	4	16	8	36	3	3	26	2	4	11	6	0	3	15
ïon	2	0	0	0	0	0	0	0	0	0	0	13	0	1	6	0	0	0	0	0	2	0	0	0	0
ïss	1	40	1	0	0	3	0	42	0	16	5	6	2	16	44	0	0	49	0	0	17	0	0	0	33
üe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
üst	3	69	0	0	0	11	0	82	0	42	2	21	0	84	42	0	3	221	0	0	51	17	0	0	88
 aa	0	1	0	1	0	1	0	7	1	2	0	0	4	4	16	0	0	16	0	1	8	2	0	1	7
 ae	0	2	0	0	0	0	0	8	2	4	0	0	0	1	1	1	0	1	0	0	0	0	0	0	5
 ag	0	3	4	0	7	0	4	9	4	5	2	1	3	10	17	1	3	33	2	0	12	3	1	4	10
 ah	0	4	0	0	0	1	0	3	1	0	0	0	0	0	5	1	0	2	0	1	2	0	2	0	1
 aj	0	3	4	0	0	0	0	1	1	6	0	1	0	1	4	1	0	14	0	0	6	0	1	0	2
 al	0	51	13	1	7	2	1	82	51	54	2	18	35	44	58	55	53	175	4	17	47	42	55	5	59
 ao	0	3	1	0	0	1	0	8	4	3	0	1	1	4	2	1	1	5	1	0	1	1	0	4	2
 aq	0	4	1	0	0	0	0	2	0	1	0	1	1	5	5	0	1	3	0	1	1	0	0	0	9
 ax	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
 aï	0	18	0	0	0	2	0	21	0	6	2	3	0	8	6	0	0	2	0	0	18	1	0	0	9
 aü	0	2	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	2	0	0	0	2
 bu	0	15	0	0	3	2	0	20	3	34	1	2	5	11	16	3	1	3	0	0	19	7	0	0	15
 ci	0	22	3	0	10	1	0	19	14	18	5	17	8	1	90	57	7	27	5	3	60	8	27	5	22
 dr	0	26	4	7	1	1	0	31	14	35	3	7	7	22	119	2	4	36	1	3	78	7	4	2	14
 dé	0	2	0	2	0	0	0	2	1	4	0	1	10	1	2	15	0	7	0	0	1	29	0	5	0
 dï	0	10	0	0	0	0	0	1	0	1	0	13	0	7	0	0	0	0	0	0	0	0	0	0	11
 eg	0	2	0	0	0	0	0	2	5	2	2	1	2	1	4	3	1	0	0	0	1	2	2	0	0
 ei	0	27	3	0	6	0	0	22	0	31	0	32	0	0	62	0	0	2	0	3	35	3	3	0	31
 ev	0	21	0	0	0	0	0	12	1	11	1	1	1	0	5	1	1	2	0	3	1	2	0	0	2
 ez	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
 fu	0	20	5	3	3	5	7	34	9	38	3	17	53	45	65	8	3	64	1	8	36	14	16	3	30
 fï	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2
 go	0	11	7	1	14	0	4	19	13	10	0	19	6	10	12	5	1	8	1	2	4	0	7	2	3
 gu	0	24	14	0	4	3	1	31	0	46	5	18	18	21	191	10	8	42	0	4	124	13	17	5	30
 hi	0	6	0	0	0	0	4	5	4	8	0	1	2	4	8	0	0	7	1	0	2	2	0	0	5
 hu	0	16	2	3	1	7	1	42	7	8	0	4	11	18	29	3	3	30	0	3	12	3	1	0	10
 hy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 hü	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ia	0	6	0	1	15	0	1	5	7	8	0	0	0	4	2	0	1	2	0	0	3	16	0	2	9
 ic	0	5	0	0	13	0	0	17	4	3	2	7	73	1	34	4	3	17	1	1	13	3	4	1	5
 ie	0	29	3	1	4	6	3	18	26	38	3	18	2	44	38	21	3	46	0	0	50	13	5	0	32
 ig	0	3	0	0	2	0	0	5	0	1	0	0	0	1	1	0	0	0	0	6	0	0	0	1	3
 ii	0	1	0	0	13	1	0	5	0	0	0	8	14	0	0	1	0	7	0	0	1	8	0	0	6
 il	0	1	0	1	1	3	0	4	5	5	1	2	16	1	26	2	1	20	0	4	11	7	3	0	0
 iq	0	2	0	0	9	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 it	0	2	0	0	0	0	0	4	1	0	1	21	0	1	14	4	1	0	0	2	8	0	0	0	3
 iv	0	2	0	1	0	0	0	5	1	3	0	1	0	0	6	0	0	1	0	0	3	0	0	0	5
 ié	0	1	0	0	0	0	0	1	2	0	0	0	0	1	16	3	0	1	0	0	1	0	0	0	1
 je	0	13	3	0	0	8	0	13	10	8	0	12	17	15	5	6	2	6	0	0	0	14	0	2	29
 jö	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ke	0	16	0	0	0	0	1	11	7	3	0	0	0	15	0	1	0	2	0	3	0	9	0	0	0
 lu	0	7	0	0	2	6	0	9	2	13	0	1	7	10	14	0	1	8	0	2	6	3	1	1	16
 ly	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	1
 lé	0	2	0	0	0	0	0	3	2	3	0	0	3	2	23	3	0	48	0	0	1	0	0	1	0
 lë	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 lï	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
 lö	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 lÿ	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 mü	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 na	0	10	6	0	9	1	0	16	4	27	3	14	16	9	29	2	7	26	0	1	39	6	3	0	6
 ne	0	57	4	2	1	7	0	73	10	43	11	27	15	20	153	13	8	35	1	13	125	25	14	0	79
 ni	0	2	17	2	0	2	0	15	3	6	0	3	1	9	4	5	2	10	0	0	4	2	7	2	7
 né	0	3	0	0	1	1	0	0	3	0	1	1	2	0	4	8	2	42	1	1	1	12	0	2	0
 nö	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 oa	0	1	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0
 ob	0	4	1	6	0	0	0	4	4	7	0	5	31	1	10	1	0	7	0	1	13	0	1	0	7
 oc	0	18	0	0	2	0	0	26	2	16	2	23	20	36	64	0	0	30	0	1	31	23	0	2	14
 of	0	2	0	0	0	0	0	1	0	0	0	1	2	4	8	0	1	6	1	0	5	0	0	0	0
 og	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
 om	0	4	4	0	0	6	1	6	1	3	2	1	1	2	10	4	2	3	1	1	48	0	0	2	2
 on	0	1	2	0	6	1	0	5	10	5	2	6	16	9	61	0	10	39	1	0	34	8	1	0	11
 ov	0	10	0	1	0	0	0	15	1	10	2	3	0	0	5	1	0	1	0	1	13	0	2	0	13
 oé	0	1	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0
 oï	0	26	0	4	0	6	0	29	0	21	3	12	3	15	28	0	1	29	0	0	40	43	0	2	14
 pö	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 rë	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
 si	0	26	22	3	3	4	1	50	75	27	6	15	22	33	61	35	4	47	0	7	52	34	10	9	17
 su	0	26	1	0	5	7	0	16	1	11	1	5	41	9	75	1	9	21	2	6	18	0	1	1	29
 sö	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 sü	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 th	0	2	0	0	0	0	0	0	0	0	2	0	129	1	38	0	0	0	0	0	5	8	0	0	3
 tü	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ue	0	4	0	0	0	1	0	7	4	2	0	0	0	0	13	0	0	4	0	0	22	0	0	0	9
 ui	0	4	1	0	2	0	0	3	3	0	1	1	0	5	1	3	2	6	0	1	6	0	0	0	2
 um	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	2	2	0	1	0
 un	0	1	1	0	0	0	0	2	0	2	2	0	2	3	0	0	0	0	0	5	1	0	1	0	0
 us	0	3	0	0	0	2	0	2	2	5	1	1	11	2	3	2	3	20	0	2	1	1	1	0	8
 ué	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
 vu	0	20	0	4	2	4	2	26	4	40	1	20	6	0	64	0	0	31	1	4	40	4	0	1	33
 xx	0	1	2	0	1	0	0	1	0	0	0	7	8	1	0	0	0	3	1	0	0	0	0	1	1
 yd	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0
 ys	0	1	0	0	0	1	0	0	0	0	0	0	0	0	10	0	1	0	1	0	0	0	0	0	4
 öe	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a a	0	11	1	1	2	2	1	33	5	16	1	5	14	15	22	7	10	31	2	1	24	32	0	0	12
a d	0	22	0	2	3	1	0	24	11	21	1	11	20	23	31	11	9	39	3	2	22	16	0	4	13
a f	0	5	0	0	1	0	0	14	2	12	0	2	19	7	28	7	2	19	4	2	10	20	0	2	10
a g	0	7	0	0	1	0	0	13	0	3	1	3	12	3	12	4	1	3	1	2	10	5	0	1	7
a h	0	2	0	0	0	0	0	3	0	1	2	2	8	5	7	0	0	2	1	0	6	3	0	0	0
a i	0	3	0	0	0	0	2	2	2	1	0	2	7	2	7	1	0	2	0	3	3	4	0	0	0
a j	0	1	0	0	2	0	0	8	1	8	2	0	5	3	12	5	0	6	1	1	8	2	0	0	8
a k	0	2	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
a l	0	7	1	0	2	1	0	7	2	6	0	5	8	14	6	6	3	26	2	0	8	6	0	1	5
a m	0	11	2	4	1	4	0	20	3	13	2	7	20	15	29	7	3	30	3	2	23	42	0	2	19
a o	0	4	0	0	9	0	0	2	3	5	1	0	1	6	3	0	2	8	1	0	4	8	0	1	2
a q	0	5	0	0	0	0	0	2	1	3	0	3	1	4	3	1	2	6	1	1	1	14	0	0	5
a s	0	11	1	1	1	1	0	24	9	13	0	5	28	10	29	10	7	18	2	0	20	22	0	4	11
a u	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
a v	0	13	0	0	3	1	0	19	2	8	1	6	7	9	19	4	3	15	2	0	16	20	0	2	13
a ç	0	3	0	0	0	0	0	4	0	1	0	2	0	0	7	1	0	1	0	0	3	7	0	0	1
aag	0	2	0	0	0	0	0	3	0	2	0	0	2	3	14	0	0	1	0	1	3	1	0	1	7
aai	0	3	0	0	0	1	0	18	1	2	1	2	0	6	5	0	0	35	0	0	13	2	0	0	1
abi	0	1	1	0	1	1	0	1	2	1	4	0	9	2	10	2	2	1	0	1	2	1	1	2	6
abl	0	20	1	0	2	0	0	39	16	34	2	10	44	19	39	7	1	61	3	8	38	6	5	16	17
abr	0	2	0	0	0	0	0	1	1	3	0	1	3	1	2	2	1	0	0	0	1	0	2	0	0
abu	0	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0
abé	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0
ace	0	61	5	5	7	11	4	85	7	81	3	23	61	8	116	15	7	69	8	16	68	6	5	12	71
acl	0	1	0	0	0	0	0	1	1	0	0	2	0	0	1	1	3	3	5	2	2	2	1	3	1
acr	0	9	1	0	0	0	0	4	0	8	0	1	5	3	8	1	1	2	2	0	23	5	1	2	11
adr	0	11	0	0	0	0	0	7	0	7	0	9	2	5	52	0	0	44	0	0	4	0	0	0	9
adé	0	10	0	0	2	0	0	2	0	2	0	6	0	7	0	0	0	6	0	0	0	0	0	0	7
ae	0	2	1	0	0	0	2	8	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
aei	0	2	0	0	0	0	0	14	0	8	0	0	0	0	9	0	0	0	0	0	5	0	0	0	4
aen	0	1	0	0	0	0	0	3	0	0	0	0	0	2	6	0	0	0	0	0	2	0	0	0	1
aer	0	4	0	0	0	1	4	8	1	2	0	1	0	2	6	0	0	0	0	0	0	0	0	0	3
aez	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
afa	0	2	1	3	0	0	0	3	0	1	0	2	0	14	20	1	1	67	0	0	20	9	0	0	1
afe	0	19	0	0	1	10	0	12	1	20	0	7	0	0	5	0	1	32	0	3	1	0	0	0	17
afo	0	3	0	1	0	0	1	4	2	5	0	0	1	9	14	2	0	5	0	0	1	0	0	0	13
afu	0	7	2	0	0	0	1	9	1	4	0	0	5	3	7	3	0	0	0	0	3	0	0	0	2
ag	0	2	1	0	2	0	0	3	0	1	1	1	0	0	14	1	2	16	1	1	21	0	0	1	8
aga	0	61	0	0	0	0	2	1	1	0	1	0	0	4	1	0	0	15	0	0	22	0	0	2	2
agi	0	5	0	0	0	0	1	4	2	5	1	2	9	5	21	0	3	27	1	1	15	2	0	0	5
agn	0	1	0	0	0	0	0	0	0	0	0	0	0	25	5	0	3	1	0	0	0	4	0	0	0
ago	0	2	0	0	3	0	0	2	1	3	1	0	0	3	7	0	1	2	0	0	3	0	0	0	0
agr	0	3	3	0	6	0	0	8	1	8	1	5	1	2	11	2	0	25	0	0	6	3	1	0	10
agu	0	10	4	0	6	0	2	5	1	11	2	3	6	5	14	0	2	3	0	0	5	0	0	1	3
ah	0	6	1	0	0	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
aha	0	11	0	0	0	2	0	6	1	0	0	1	0	2	5	2	0	3	0	1	5	0	3	0	2
ahe	0	6	0	0	0	0	0	12	0	4	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
ahi	0	3	1	0	0	2	0	0	0	0	0	3	6	8	7	2	6	29	0	2	1	0	0	0	6
ahé	0	4	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0
aia	0	2	3	1	0	0	0	0	0	11	0	0	24	31	4	0	0	11	0	0	4	4	0	1	1
aid	0	10	0	0	0	0	2	7	3	0	5	1	7	36	19	2	0	81	3	1	37	6	2	0	2
aio	0	2	0	0	0	0	0	3	0	2	0	1	1	1	9	0	0	12	0	0	1	1	1	0	0
air	0	30	32	1	2	3	6	34	7	0	8	0	30	66	162	20	11	308	9	1	165	32	9	7	44
aiz	0	2	0	0	0	0	0	0	0	0	0	0	0	14	65	0	0	1	0	0	35	0	1	0	2
aj	0	1	0	0	0	0	0	1	2	2	0	0	0	0	1	4	0	4	0	0	3	0	0	0	0
ajo	0	4	4	0	0	0	0	4	3	8	0	1	0	1	5	0	0	18	0	0	14	1	0	0	2
alc	0	9	6	0	2	0	0	6	0	0	0	0	0	0	5	0	0	6	0	0	12	0	0	0	2
ald	0	5	0	0	0	0	0	4	0	0	0	1	23	0	0	0	0	83	0	0	0	0	1	0	0
alm	0	1	0	0	0	0	0	0	2	1	0	0	6	1	1	4	1	0	0	0	2	0	7	0	6
alt	0	64	9	0	0	0	0	67	0	0	0	0	0	0	0	1	0	2	0	0	0	1	17	0	84
alu	0	14	1	0	3	1	0	46	3	37	1	13	6	22	14	2	2	85	0	2	6	4	1	1	13
alv	0	18	1	0	0	0	0	15	0	0	0	0	2	7	0	2	1	0	0	0	0	0	5	0	17
alz	0	61	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
alé	0	12	0	2	1	0	0	48	15	18	1	6	3	17	7	8	5	58	1	2	8	6	0	2	17
alö	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alü	0	7	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ama	0	25	2	0	0	3	5	65	10	41	8	7	10	24	58	13	7	109	2	1	66	8	6	0	32
amm	0	1	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0
amu	0	3	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	4	1	0	7	0	0	0	3
amè	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	5	1	0	0	0	0
an 	0	6	5	0	39	1	0	14	1	10	1	15	64	2	15	2	0	104	0	0	2	30	4	1	31
anb	0	129	1	0	0	0	0	148	0	154	0	0	0	0	0	0	0	1	0	0	0	5	0	0	170
anf	0	11	1	0	10	0	0	15	0	11	0	0	0	0	1	0	0	1	0	0	0	0	0	1	18
anh	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ani	0	3	2	1	4	2	1	7	4	1	2	3	5	3	15	0	0	27	0	17	8	8	0	1	3
anj	0	9	1	0	4	0	0	10	0	7	0	1	0	1	8	3	0	1	0	0	3	2	0	0	4
anl	0	1	0	0	0	0	0	4	0	2	1	0	0	3	0	2	0	3	0	0	1	9	0	0	4
anm	0	5	0	0	0	1	0	18	0	11	0	0	0	12	9	1	1	69	0	0	0	1	0	0	1
ann	0	4	4	0	3	0	0	5	0	4	0	0	6	5	0	0	0	2	0	0	3	0	0	0	0
anp	0	44	7	0	1	0	0	35	0	42	0	0	0	1	0	0	0	0	0	0	0	2	0	0	31
anr	0	29	0	1	17	0	0	52	0	15	0	0	0	5	1	2	0	7	0	0	0	4	0	0	10
anu	0	1	5	0	0	9	1	2	6	11	1	12	6	34	13	0	0	101	0	0	4	1	1	0	1
anv	0	25	0	0	3	0	0	61	0	51	0	0	0	1	1	0	0	0	0	0	0	0	1	0	21
anç	0	20	1	0	4	0	0	12	0	26	0	1	7	0	6	0	0	22	0	0	2	3	0	0	20
ao	0	1	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	2	1	1	0	0	1	1
aoe	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aoi	0	1	0	0	1	0	0	1	2	0	0	1	0	4	0	0	0	11	0	0	0	0	0	0	0
aol	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aor	0	3	1	0	0	0	0	11	11	2	0	11	0	0	3	0	0	5	1	1	15	1	0	5	2
ap 	0	6	5	0	0	0	0	9	0	4	1	0	0	4	2	1	0	2	1	0	4	0	0	0	1
apa	0	34	0	2	2	1	2	27	3	47	6	1	4	9	59	3	0	90	1	3	41	26	5	2	42
apl	0	2	1	0	0	0	0	3	0	2	1	1	0	3	5	0	0	6	0	0	5	0	0	0	2
apu	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1
aq	0	2	0	0	0	1	0	2	0	1	0	0	0	0	2	2	0	1	0	0	0	0	0	0	1
aqu	0	6	1	0	1	1	0	4	0	2	0	36	13	5	8	2	2	9	0	1	1	4	0	0	11
arj	0	4	1	0	0	0	0	2	0	14	0	0	0	3	19	1	0	0	0	0	11	0	0	0	0
arp	0	2	0	0	0	0	0	1	0	6	2	1	5	2	2	0	0	3	0	1	3	0	0	0	1
arr	0	93	3	4	12	2	0	36	2	33	3	32	68	32	53	2	3	201	4	4	28	35	1	0	30
ars	0	2	23	3	5	0	1	9	5	10	1	2	3	16	19	4	2	182	3	6	23	3	1	1	2
arv	0	2	1	0	0	0	0	1	1	0	0	0	3	3	5	0	0	6	0	0	2	2	0	0	1
arz	0	10	0	0	0	0	0	3	0	14	4	2	1	0	40	0	0	0	0	1	18	0	1	0	22
arç	0	12	0	0	0	2	0	4	0	16	2	3	1	1	13	0	0	8	0	1	2	0	0	0	17
arï	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
as 	0	30	47	11	15	2	8	47	16	33	4	25	36	27	65	17	8	152	8	4	60	12	8	5	9
asa	0	17	1	1	1	0	1	24	3	1	4	0	0	6	2	3	2	0	0	0	11	2	0	0	18
ase	0	13	2	1	0	1	0	39	3	0	1	0	1	6	6	1	20	5	0	11	10	3	3	0	18
asi	0	1	0	1	2	0	1	26	3	0	3	0	21	1	0	6	0	0	1	0	15	11	2	0	2
asl	0	14	0	0	1	0	0	182	0	18	1	3	0	0	3	0	0	0	0	0	4	0	0	0	31
aso	0	15	0	0	1	0	1	15	1	0	0	0	0	2	8	3	2	1	1	0	51	2	0	1	2
asp	0	3	0	0	0	0	0	2	0	4	2	0	6	0	2	0	0	9	0	0	4	1	0	0	0
asq	0	6	0	0	1	0	0	2	0	1	0	3	0	0	2	2	0	4	0	0	3	1	0	0	1
at 	0	7	11	1	8	0	0	5	0	2	0	2	8	4	20	2	0	5	0	3	4	0	54	1	6
att	0	1	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	1	0	0
atu	0	9	2	1	9	0	0	18	3	13	2	5	11	12	28	1	4	47	0	0	17	0	1	0	7
auf	0	2	2	0	5	0	0	3	1	0	0	1	1	5	10	1	0	3	0	1	0	0	0	0	4
aug	0	1	1	0	0	1	0	6	0	2	0	128	3	2	23	0	0	1	0	0	5	2	0	0	4
aul	0	6	2	3	0	0	0	3	0	3	0	3	303	8	6	2	1	5	15	2	5	5	0	0	1
auz	0	22	1	0	0	0	0	27	0	57	2	5	0	3	14	0	0	0	0	0	14	0	0	0	30
auç	0	1	1	0	1	0	0	3	0	3	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0
ava	0	62	18	5	1	3	1	85	2	68	1	15	4	28	86	2	1	42	1	1	12	1	0	3	28
avo	0	95	1	1	11	7	0	104	11	38	0	21	34	61	28	13	7	255	1	0	30	52	9	2	76
avu	0	3	0	0	0	0	0	0	3	45	0	5	0	1	0	4	0	1	0	1	4	0	0	0	7
avï	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0
ax	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ax 	0	95	0	1	0	0	0	201	0	0	0	0	0	18	0	0	0	0	0	0	0	5	0	0	86
az	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
azi	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	18	2	0	0
azu	0	1	0	0	0	0	0	2	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
aça	0	1	1	0	0	0	0	1	1	1	0	0	0	0	6	0	0	6	0	1	4	0	0	0	1
aço	0	3	0	0	0	0	0	3	0	2	0	0	12	1	8	0	0	21	0	0	15	1	0	0	4
aï	0	14	0	0	0	2	0	12	0	0	2	2	0	7	3	0	0	6	0	0	12	1	0	0	3
aï 	0	3	0	0	0	0	0	1	0	10	0	0	0	1	11	0	0	0	0	0	7	1	0	1	2
aïd	0	6	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	10	0	0	0	3
aïe	0	7	0	0	0	1	0	11	0	12	2	0	0	10	8	1	0	1	0	0	12	1	0	0	16
aïn	0	8	1	0	0	1	0	3	0	2	3	0	0	9	10	0	0	0	0	0	3	0	0	0	7
aïr	0	5	0	0	0	0	0	6	0	6	2	4	0	13	11	0	0	8	0	0	9	1	0	0	3
aïs	0	55	1	0	0	0	0	43	0	21	2	21	0	18	62	0	4	9	0	0	64	6	0	0	27
aït	0	10	0	0	0	3	0	6	0	4	0	2	0	9	15	0	0	5	0	0	1	1	0	0	23
aïz	0	4	0	0	0	0	0	3	0	1	0	0	0	1	6	0	0	0	0	0	2	0	0	0	3
